question_id,zeroshot,cot,fewshot
5,False,True,False
20,False,True,False
31,False,True,False
38,False,True,False
46,False,True,False
49,False,True,False
65,False,True,False
72,False,True,False
95,False,True,False
99,False,True,False
110,False,True,False
113,False,True,False
115,False,True,False
124,False,True,False
131,False,True,False
161,False,True,False
170,False,True,False
176,False,True,False
181,False,True,False
182,False,True,False
205,False,True,False
216,False,True,False
249,False,True,False
262,False,True,False
263,False,True,False
269,False,True,False
279,False,True,False
288,False,True,False
310,False,True,False
312,False,True,False
373,False,True,False
382,False,True,False
386,False,True,False
396,False,True,False
401,False,True,False
410,False,True,False
415,False,True,False
420,False,True,False
450,False,True,False
487,False,True,False
503,False,True,False
518,False,True,False
522,False,True,False
542,False,True,False
574,False,True,False
579,False,True,False
581,False,True,False
584,False,True,False
597,False,True,False
600,False,True,False
619,False,True,False
626,False,True,False
629,False,True,False
630,False,True,False
685,False,True,False
692,False,True,False
712,False,True,False
747,False,True,False
764,False,True,False
770,False,True,False
790,False,True,False
800,False,True,False
830,False,True,False
833,False,True,False
837,False,True,False
850,False,True,False
854,False,True,False
868,False,True,False
900,False,True,False
911,False,True,False
954,False,True,False
1006,False,True,False
1027,False,True,False
1067,False,True,False
1068,False,True,False
1102,False,True,False
1113,False,True,False
1169,False,True,False
1174,False,True,False
1191,False,True,False
1207,False,True,False
1208,False,True,False
1211,False,True,False
1217,False,True,False
1229,False,True,False
1260,False,True,False
