id,link,question,opa,opb,opc,opd,diagnosis,answer_idx,answer,field,hasImage,image_link,difficulty
0,https://jamanetwork.com/journals/jama/fullarticle/2811509,"A 50-year-old man with end-stage kidney disease receiving hemodialysis was admitted to the hospital for treatment of calciphylaxis and foot cellulitis. His home medications included sevelamer and hydrocodone-acetaminophen (10 mg/325 mg) every 8 hours as needed, which was increased to every 4 hours as needed in the hospital. Hydromorphone (0.5 mg intravenously as needed) was added for breakthrough pain. He was prescribed chewable lanthanum tablets (500 mg 3 times daily) for treatment of a blood phosphate level of 8.1 mg/dL (reference, 2.5-4.5 mg/dL). On hospital day 7, the patient developed intermittent apneic episodes, during which his oxygen saturation was 80% on room air; heart rate, 86/min; and blood pressure, 106/45 mm Hg. Physical examination revealed bilateral rhonchi and responsiveness to verbal commands only with deep painful stimulus. A chest radiograph showed 4 radio-opaque coin-shaped opacities in the stomach (Figure). After administration of oxygen at 2 L/min by nasal cannula and a naloxone infusion, his oxygen saturation increased to 98% and his mental status improved. The patient reported no foreign body ingestion. Chest radiograph showing 4 rounded objects in patient’s stomach. What Would You Do Next?",Administer activated charcoal,Arrange endoscopy,Perform gastric lavage,Provide supportive care,,D,Provide supportive care,JAMA Clinical Challenge,Yes,https://cdn.jamanetwork.com/ama/content_public/journal/jama/939274/m_jcg230015f1_1700158825.65544.png?Expires=1743347150&Signature=U-udM1EAYDcOfVTKyISj0MtV4HNiCWbWkinemoaRsmmAjL43p8mFT3dTbYcS9teA2BG8-qMYeG6w9NsT7mJP9yd57wlyQx5qkgWR2wuJYnrpkXOmVR-5omHdZhZ0vz6k5Cc1c4PEfKbdVAB3pfyb9PP-0ue6Ha3f6RoQ3hMNGzr9xHthGtd7BxV6-0PVrA5crd-Ar5E8cNjNS~i~xS1Y9AgdMYMTU32RAmak2ebjknIPoXgrUUa4pkPbj7h6Li3o4icWzzn4dFQ2rxuS3RPXerXbts-cb~-0E-zE-z3pbNuhgfFnJvrT10tp6y55AZMZFslG6ayowHGFLyZbXqy1Nw__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,hard
1,https://jamanetwork.com/journals/jamaotolaryngology/fullarticle/2811315,"A healthy patient in their teens presented to the emergency department with high-grade fever (38.7 °C), neck pain, and a foreign body sensation in the throat after eating chicken 3 days prior. Laboratory investigations demonstrated an elevated leukocyte count (22 500/µL; to convert to ×109/L, multiply by 0.001). Lateral soft tissue radiography showed a radio-opaque foreign body at the level of C6. Computed tomography (CT) scan confirmed a 2-cm radio-opaque osseous foreign body at the level of the cricopharyngeus muscle with signs of esophageal perforation, including air leak tracking toward the left lobe of the thyroid gland (Figure, A and B). The patient was brought to the operating room, and the esophageal foreign body was successfully removed. Postoperatively, the patient continued to become febrile despite intravenous antibiotic therapy. A repeated CT scan of the neck and chest was done (Figure, C). A, Axial cut of computed tomography (CT) scan of the neck demonstrating free air in the left lobe of the thyroid gland (arrowheads). B, Sagittal cut of neck CT scan showing 2-cm radiodense osseous foreign body in the upper cervical esophagus at C6 level (arrowhead). C, Coronal cut of CT scan showing gas in the thyroid gland (arrowheads). What Is Your Diagnosis?",Parapharyngeal abscess,Retropharyngeal abscess,Emphysematous thyroiditis,Mediastinitis,,C,Emphysematous thyroiditis,Clinical Challenge,Yes,https://cdn.jamanetwork.com/ama/content_public/journal/otol/939304/m_ocg230013f1_1704922389.21595.png?Expires=1742320172&Signature=E~ipjfo5G6BBCOREGF4h3gvH7DuzYKSAAMOZbkqGwOJc7E2rAclpqk6scgtgNbls2hZ3EKaSERj8EOmJKrWApFceX~1t91tRdZOqw7ce0M7L-NMbIG~Wzu1bRQqigG7UjabsY8O-NdX5B-VVKR8V6cSa6i6M8WoErtgnk9JTumUENeOm047-ZUCmVLFipIKMizxlrWMsVbvQYhXcny-8nRdTOoZGk1ErFECf1PxqPxboLAOYjsSqJMHpbJSzLJiiSW3GTuChCPD7IV7SVogwejiGO3Xbu-bSXP78jD77cRiCNh0rLbF0w2heWgeAjkUyEqbgpZO2XnwuTVaEKoSHKA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,hard
2,https://jamanetwork.com/journals/jamadermatology/fullarticle/2811083,"A man in his 30s with AIDS presented with acute-onset painful scattered umbilicated papulopustules and ovoid ulcerated plaques with elevated, pink borders on the face, trunk, and extremities (Figure, A). The patient also had a new-onset cough but was afebrile and denied other systemic symptoms. Due to his significant immunocompromise, the clinical presentation was highly suspicious for infection. For rapid bedside differentiation of multiple infectious etiologies, a Tzanck smear was performed by scraping the base of an ulcerated lesion and inner aspect of a pseudopustule and scraping its base with a #15 blade. These contents were placed on a glass slide, fixed, and stained with Wright-Giemsa and subsequently Papanicolaou staining to further characterize the changes seen. A, Clinical image demonstrating papulopustules and ovoid ulcerated plaques with elevated, pink borders on the elbows. B, Tzanck smear using Wright-Giemsa staining of specimen demonstrating ballooning of keratinocytes and peripheralization of nuclear material (original magnification ×20). What Is Your Diagnosis?",Herpes simplex virus,Histoplasmosis,Molluscum contagiosum,Mpox,,D,Mpox,JAMA Dermatology Clinicopathological Challenge,Yes,https://cdn.jamanetwork.com/ama/content_public/journal/derm/939284/m_dcg230015f1_1701809872.66531.png?Expires=1742320175&Signature=iEy~sW-67EGH-JjuV2dw8LNbS8ULNSPV-soQ3IaNWMfmRfZxEuOHPrKSFbng-u09hzr7PmLlA8YJN9P-tR9uvgp~LSrV9YWaI78dMCnMWKVQfbGa4TG3kOgs3hkd-F1ZPmLEeRBJMa-HDZVGYdqTLBD8hSeAbEQPz4IpK4~q9T6w~-ZUPNSB9uJvW2jF98uEdh~bFGfyxI1tm6R0w~2A3P1mu2BaVuU08JhbNwp5YCOEhJDDb8OvIVYcmNOQHE4~gqqcYUHR9eKRHuFrFUMFJvKH2yhRmMmQx5V2yWs-ZVrzAos2ou3MnzHaJMak~6YYAvOMCYv~wm52K3l0Fiu9Gg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,hard
3,https://jamanetwork.com/journals/jama/fullarticle/2810596,"An 80-year-old man with stage II bladder carcinoma (T2NXM0) and atrial fibrillation treated with apixaban presented to the emergency department with 1 week of fatigue and 2 days of dyspnea on exertion. One week prior to presentation, he received a fourth cycle of carboplatin/gemcitabine for bladder carcinoma with 6 mg of pegylated granulocyte colony-stimulating factor (G-CSF). The patient reported no anorexia, fever, melena, hematemesis, hematuria, cough, orthopnea, or peripheral edema. His vital signs were normal except for a heart rate of 103/min. His white blood cell count was 22 × 103/μL (reference, 4-11 × 103/μL), increased from 4.8 × 103/μL 8 days prior. His manual differential, which was previously normal, showed 18% bands (0%-10%), 2% metamyelocytes, 7% myelocytes, 7% promyelocytes, and 6% blasts. His hemoglobin level was 5.2 g/dL (reference, 13-17 g/dL), decreased from 7.4 g/dL, and platelets were 25 × 103/μL (reference, 150-420 × 103/μL), decreased from 268 × 103/μL 8 days prior. Ferritin was 1423 ng/mL (reference, 300-400 ng/mL). Mean corpuscular volume, prothrombin time, international normalized ratio, partial thromboplastin time, fibrinogen, haptoglobin, vitamin B12, and methylmalonic acid values were normal, and results of a direct antiglobulin test were negative. A computed tomography (CT) scan of his abdomen and pelvis was normal. He received 2 units of packed red blood cells and was admitted to the hospital. Flow cytometry identified a small population of CD34+/CD117+ cells (Figure). Left, Peripheral blood smear showing normocytic anemia with anisopoikilocytosis and leukocytosis with 6% to 8% blast forms. Right, Flow cytometry of peripheral blood demonstrating a small population of white blood cells that stained positive for CD34 and CD117, which are markers of immature myeloblasts. Esophagogastroduodenoscopy revealed 2 nonbleeding angioectasias in the stomach that were treated with argon plasma coagulation. Three days after admission, his white blood cell count was 27.7 × 103/μL with 4% peripheral blasts, hemoglobin was 7.3 g/dL, and platelet count had increased to 92 × 103/μL without a platelet transfusion. What Would You Do Next?",Perform a bone marrow biopsy,Prescribe all-transretinoic acid,Repeat complete blood cell count with differential in 1 to 2 weeks,Start cytoreductive therapy with hydroxyurea,,C,Repeat complete blood cell count with differential in 1 to 2 weeks,JAMA Clinical Challenge,Yes,https://cdn.jamanetwork.com/ama/content_public/journal/jama/939252/m_jcg230013f1_1697473293.40749.png?Expires=1742496344&Signature=kDf2IHunI1s5rrRDnNdQJRTHyQ5HYtVkGRI2KFlh-n2a7GlIZ591mH-t9KgJrArw1sRRh~QkDaO9zTYk6zfmIlUkon0fuQnHeKOta1QPJEwxyDCNJi6sk2z3atdJPPGQ70Bt4DsxD46EZA7R65QqW~8mp0LDiEMc2wuJdzrIX~9zTpHTHHXW9cRxWP698M4o6h-Vj6kR20M2N9G44vtp5wD6z9HJojDL-BkxAKahuMwzTcdVlwN83MJ4UEESBfdkaTegywnV81LrYEFUMqeN1b9BUjgi98hi7kUGR6cq9A2S53k1VDVe8fpHIOli~E732FZX-~B1kQsI6mDGxofSTg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,hard
4,https://jamanetwork.com/journals/jamaneurology/fullarticle/2810537,"A 68-year-old man presented with progressive right-sided facial numbness and weakness, vision changes, and headaches. His symptoms began 5 years earlier with right temple numbness, which expanded to include the entire right face and mouth. He then developed progressive right facial weakness with a droop, slurred speech, and eyelid ptosis. Finally, binocular vertical and horizontal diplopia and periorbital headaches began. Trials of gabapentin and steroids provided no relief. His history was significant for a left cheek melanoma completely excised years prior, numerous cutaneous squamous and basal cell carcinomas of the bilateral head and neck removed without issue, type 2 diabetes, and hyperlipidemia. His medications included metformin and simvastatin; he had no history of smoking or drinking. On examination, he had right-sided ptosis and severe right facial weakness in a lower motor neuron pattern with temporal wasting. The right pupil was fixed and dilated. There was no afferent pupillary defect. The left pupil was appropriately sized and reactive. His right-sided vision was impaired (20/250) with blurriness. Vertical and horizontal binocular diplopia was present. Right extraocular movements were significantly limited in all directions and painful, and right-sided facial sensation was diminished to pinprick in all cranial nerve (CN) V distributions. His speech was slightly slurred. Left-sided extraocular movements were intact. His left facial sensation was intact to pinprick, and his strength was without deficit. There were no other neurological abnormalities. Initial magnetic resonance images (MRIs) were unremarkable. A biopsy of CN VII was nondiagnostic. Hemoglobin A1cwas 6.8%. Tests for infection and autoimmune disease had negative results. Cerebrospinal fluid (CSF) studies showed mildly elevated protein values.Figure 1shows the MRI at presentation. T1 turbo spin-echo fat-saturated magnetic resonance images of the brain through the skull base at presentation. What Is Your Diagnosis?",Primary leptomeningeal lymphoma,Tolosa-Hunt syndrome,Perineural spread of cutaneous malignancy,Sphenoid wing meningioma,,C,Perineural spread of cutaneous malignancy,JAMA Neurology Clinical Challenge,Yes,https://cdn.jamanetwork.com/ama/content_public/journal/neur/939283/m_ncg230002f1_1702053771.93974.png?Expires=1742320181&Signature=bTw2UfEJX7rzx5sNlnx2-tC2cGyp-yXLM1Y26I9Zq3zHelx63sTrSdG5g61V5u3umfpJ5SW65sFwvzjYkJXMxm7OU3keX~mQXzh3g4Oxyl6lWeYNdy7LSp8fSiWtQcXqd-Wipbk7HF4Chr-du4DcQAbIqZaFneGLcvca4uqO2A5ibUOlPhStiAJ-iVokobsSGJ57ICVi1fDFxgFhh16h3AaydK27hQ22oejBInwUarNppCmTgk8EWBOBpXPE-f0gv-FaGlO~BdXuzTahhwypERkNBxLotjf9hrYqRkJmTbHa~2dz-jdZUllXL~WJPeaYj9dkGAZzgufXos4bny1IIw__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,hard
5,https://jamanetwork.com/journals/jamaoncology/fullarticle/2810749,"A 31-year-old man presented with left cervical and left inguinal masses. He reported intermittent itching and night sweats for 2 years. He denied fever, weight loss, shortness of breath, rashes, diarrhea, and neurological symptoms. On a preemployment evaluation, the patient was told he had a high white blood cell count 2 years ago. On examination, there was left cervical and inguinal lymphadenopathy and no other organomegaly. Complete blood cell count and peripheral blood smear showed marked leukocytosis, with a white blood cell count of 22 340/μL, an absolute neutrophil count of 5360/μL, and 55% eosinophils with an absolute eosinophil count of 12 290/μL (to convert all to cells ×109/L, multiply by 0.001). Vitamin B12was markedly elevated at more than 4000 pg/mL (to convert to pmol/L, multiply by 0.7378). The erythrocyte sedimentation rate was 5 mm/h. Lactate dehydrogenase was 180 U/L, and alkaline phosphatase was 81 U/L (to convert both to μkat/L, multiply by 0.0167). Evaluations for HIV and hepatitis B and C were all negative. Serum creatinine was 0.76 mg/dL (to convert to μmol/L, multiply by 88.4); alanine aminotransferase and aspartate aminotransferase were 11 U/L and 9.9 U/L, respectively (to convert to μkat/L, multiply by 0.0167); and total bilirubin was 0.35 mg/dL (to convert to μmol/L, multiply by 17.104). Bone marrow biopsy showed hypercellular marrow (cellularity of 100%), myeloid hyperplasia, increased eosinophils with some dysplasia, and a blast count of 2%. Positron emission tomographic–computed tomographic scan showed a left upper cervical lymph node of 2.6 cm and a left inguinal lymph node of 3.1 × 2.3 cm with an standardized uptake value max of 5.7 (Figure, A). Left inguinal lymph node biopsy showed partial involvement by atypical cells with high proliferation index (Ki-67 >95%) that were positive for CD3, CD4, CD8,BCL2, and TDT, suggestive of T-cell lymphoblastic lymphoma/leukemia (Figure, B). A, Positron emission tomographic–computed tomographic (PET/CT) scan of the head and neck at presentation showing a left upper cervical lymph node of 2.6 cm (arrowhead). B, Lymph node biopsy immunohistochemical stain with terminal deoxynucleotidyl transferase. The inset shows interphase fluorescence in situ hybridization forFIP1L1::PDGFRArearrangement (positive). C, PET/CT 12 weeks after treatment initiation. What Is Your Diagnosis?",Kimura disease,Classic Hodgkin lymphoma,T-cell acute lymphoblastic lymphoma/leukemia,Myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusions,,D,Myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusions,JAMA Oncology Clinical Challenge,Yes,https://cdn.jamanetwork.com/ama/content_public/journal/oncology/939303/m_ccg230005f1_1704491818.19324.png?Expires=1742320183&Signature=Xxo8UbpMqqo3JqkOJ5ad8Y1KPTx310NRvq5ZbKA91vV6N0FO5sJxPwDUYZOmLcSkyQD2Lmjo4GmUZHLYik9c~uB2Mj8h1TWmOQgJaSMdr9UEfgIspPaMtk2jH~uE-ymdySO8jz53Ws5dE2MWMXfvBszmONuRGamq92NMoZqW4FVQqB0MnbhcIriDi0AslithNq-4oJiM5p25ePd~AxxYt05~lAz-ejUMteVz896~nLVa0vZ60AUdpY8fK-ILpJ0dH5py8gn8XZeGg8uWusjE9K6vO4rLQgABCCLNtWlHCuSZWmmaxiY3dJdA3mreyLkLGpnOj1b9S5gYHLqNUmVhvw__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,hard
6,https://jamanetwork.com/journals/jamaotolaryngology/fullarticle/2810850,"A 28-year-old woman presented with a 5-day history of painful cervical lymphadenopathy along with fever, nausea, and vomiting. Treatment with antibiotics and corticosteroids was started, without improvement of symptoms. She denied recent travel, sick contacts, or autoimmune disease. Her medical history was significant for α-thalassemia but otherwise noncontributory. On examination, she had tender lymphadenopathy involving right level V. A computed tomography scan of the neck revealed a collection of enlarged, matted nodes without evidence of an abscess. Fine-needle aspiration (FNA) biopsy showed nondiagnostic reactive lymph nodes. She was subsequently admitted to the hospital, where the lymphadenopathy progressed to the left side of the neck and a skin eruption developed over her face, back, and trunk. Results of an infectious disease and rheumatological workup, including bone marrow biopsy, were negative. Given her persistent symptoms, the ear, nose, and throat service consulted for excisional biopsy. On pathologic examination, the lymph nodes showed extensive coagulative necrosis, apoptosis, and karyorrhectic debris (Figure 1). Cellular components included histiocytes and dendritic cells, with absent neutrophils and hematoxylin bodies. Well-defined areas of fibrinoid necrosis in paracortical areas (hematoxylin-eosin, original magnification ×20). What Is Your Diagnosis?",Lymphoma,Kikuchi-Fujimoto disease,Systemic lupus erythematosus,Rosai-Dorfman disease,,B,Kikuchi-Fujimoto disease,Clinical Challenge,Yes,https://cdn.jamanetwork.com/ama/content_public/journal/otol/939280/m_ocg230012f1_1701290217.87878.png?Expires=1742320186&Signature=YpnpRsSFLhjwStiDcqROcDSFebfY6cOlErkShI-o-hRmqYJ5n5SUkkZrqZqUOI9Y-YP2IKvn2izkJKdhh4RyR2-C77fkb4CySFeIKW6aaD1GG3Sl1d1yqEnLuLKcxOl10prvEaSBCyykYCZyy0MiHqx8ptnxa-lT3ryxFsLGJoosuPNT72kbb3KhTTzxzVtK1G71tlyWb9H1pKOEVrXy6rnqh79TAQaBm9e~n5W1OB-pcXOhqVWQPAPdQJtDWkbixqn2uS2zp9w6FQUDX45aVWgsradeVFqgbrx7tlpZf9jFeyBZf846jWedjunTPSP3v5rcSBBRaYNsJelKQxkGZw__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,hard
7,https://jamanetwork.com/journals/jamacardiology/fullarticle/2810393,"A woman in her 90s presented to the emergency department with symptoms of fever, hemoptysis, and syncopal episodes. She had a history of breast cancer and pulmonary nodules with biopsy findings negative for metastatic disease but positive for granulomatous inflammation. Initial vital signs included blood pressure of 103/66 mm Hg, heart rate of 190 bpm, and temperature of 38.7 °C. Electrocardiogram showed monomorphic ventricular tachycardia with a morphology suggesting right ventricular (RV) origin (Figure 1). In addition to receiving intravenous amiodarone hydrochloride, she had correction of mild hypokalemia (3.1 mEq/L [reference range, 3.5-5.2 mEq/L]; to convert to mmol/L, multiply by 1.0). Successful arrhythmia termination occurred shortly thereafter, and her vital signs remained stable. Chest computed tomographic angiography excluded pulmonary embolism but showed pulmonary nodules and mediastinal lymphadenopathy that had progressed compared with her previous computed tomography. An echocardiogram showed severe RV and left ventricular (LV) systolic dysfunction with multiple areas of hypokinesis. Patient electrocardiogram showing monomorphic regular wide complex tachycardia with a left bundle branch block morphology, with a precordial transition at V3 and inferior axis suggesting right ventricular origin. What Would You Do Next?",Cardiac magnetic resonance imaging,Electrophysiology study,Genetic testing,Implantation of cardiac defibrillator,,A,Cardiac magnetic resonance imaging,JAMA Cardiology Clinical Challenge,Yes,https://cdn.jamanetwork.com/ama/content_public/journal/cardiology/939287/m_hcg230005f1_1702400241.18769.png?Expires=1742871278&Signature=FkXRZG7q6ElPAjN5BhXyA7nVBxZFYCMTeCDWvxpyDm6~7NBaz4Z-9fHgRvh3KWvcaY6huiDsQt-ZcJT4VKNypJr4cHtH~VszjdcKMkPqQmEpQOchM0ey~HL62JSIMIbddADNtDxeNIW0XiDSORHezH6-IXDqJ3aGJIEfOfIDoedhk4MCIkypJDXmW7IHyPtAYhtDb3-eMgZeT9U6JSJATrmbyPg7eD1MBrVYg45S1zxPMJzACacp1XHvNKyxGBKs1UEv7gAadjrvE2ci7vxXsHSJmUrm2TYQTC8qi5U4gy2cG-ZlaFY~4dPoaDy5DaAspt8LAuJLsPrmp0uwAi2leg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,hard
8,https://jamanetwork.com/journals/jamaotolaryngology/fullarticle/2810455,"A 27-year-old woman presented to her primary care physician with primary complaints of headaches and visual-spatial difficulties when driving at night. In addition, the patient described a progressively enlarging lesion on her left scalp, which she had initially noted in high school. She denied any overlying loss of hair, sharp pain, or bleeding from the scalp lesion, and she only reported pain with prolonged pressure. On her scalp examination, a 7-cm ill-defined spongy and pulsatile mass was noted with an overlying gray patch of hair. Magnetic resonance imaging (MRI) of the brain/orbit was initially performed (Figure, A and B), which demonstrated an ill-defined, diffuse, intensely enhancing scalp lesion in the left frontoparietal region with very prominent vascularity and underlying calvarial thickening. No osseous destruction or intracranial extension was present. Subsequent catheter angiography (Figure, C) confirmed the hypervascular mass, supplied via hypertrophied superficial temporal and occipital arteries with marked internal vascularity without direct involvement of the calvarium or intracranial structures. The patient underwent biopsy under general anesthesia; the specimen showed an ill-defined deep dermal/subcutaneous proliferation of spindle cells without significant nuclear pleomorphism or mitotic activity. The lesions stained positive for S100 and SOX10 immunostains. Coronal T2-weighted (A) and postcontrast T1-weighted (B) fat-saturated images show the large left T2 hyperintense scalp lesion (double arrowheads; A and B), with underlying calvarial thickening (asterisk; A and B) without invasion, prominent vascularity (single arrowhead; A), and enhancement (B). Note the preservation of the overlying skin. Catheter angiography (C) shows the hypervascular scalp lesion being supplied by hypertrophied branches arising from the left superficial temporal and occipital arteries, with marked internal vascularity (arrowheads). R indicates right. What Is Your Diagnosis?",Arteriovenous malformation of the scalp,Solitary fibrous tumor,Diffuse-type neurofibroma,Dermatofibrosarcoma protuberans,,C,Diffuse-type neurofibroma,Clinical Challenge,Yes,https://cdn.jamanetwork.com/ama/content_public/journal/otol/939280/m_ocg230011f1_1701290220.50719.png?Expires=1742320190&Signature=Tv4gI~gu2JDciDveJ5e2aaQieFH3D~EMzhv-Cex7Rh~LV986EoW8VkR9FdvMtlsDrhH6uA4aAuBxlF1k82rWIDJcnMGeaFQ9DX0kR2lW2k6oPMK~0nTAdmAX7C3T2gnbiyIrxnba3nAyAM0WOaQG1qV2SOqdWIL~pOWqFob6kDVzNU3Ix9qpQHcFDi8I4CqJ9rLY6GfgnDGdcnEIRm50DHm-iEev3oXRKnbK9XDuxCgDx6~YgMJQshP1jcbiXPJhcJ34OXKHD2ksLZPAhYcprFzuK72D1PdrGahJji2wPi74xuhOF1l3n-ldWWYip4-Jchzn1W1uSvZpK1DHa6laxw__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,hard
9,https://jamanetwork.com/journals/jamadermatology/fullarticle/2810452,"A woman in her 30s presented for evaluation of asymptomatic erythematous scaly plaques over the face and proximal extremities. The lesions started as an erythematous papule on the face, which had progressed to larger plaques within 10 years. There was involvement of the upper respiratory tract, causing palatal perforation and stridor, necessitating a tracheostomy a year ago. In addition, there was history of wheezing and breathlessness. There was no history of preceding trauma, fever, malaise, joint pain, cough, epistaxis, hemoptysis, or hematuria. Examination revealed multiple well-defined brown erythematous scaly plaques with central scarring measuring 2 × 1 to 8 × 7 cm on the face, arm, and thighs. The patient also had saddle nose deformity, perforation of the hard palate, and necrotic plaques on the ear, causing destruction of ear cartilage (Figure, A and B). There was cervical lymphadenopathy: multiple, nontender, discrete nodes, ranging from 1.5 to 2 cm without any surface changes. The results of sensory examination and peripheral nerve examination were within normal limits. Respiratory examination and chest radiography results were normal. Hemogram showed anemia (hemoglobin, 10.1 g/dL [to convert to g/L, multiply by 10.0]); the results of a kidney function test, a liver function test, a fasting blood glucose test, and routine urinalysis were within normal limits. Serologic analysis results for HIV-1/2, antinuclear antibody, and antineutrophil cytoplasmic antibodies were negative. Punch skin biopsy was obtained for histopathologic analysis and culture (Figure, C). A, Multiple well-defined brown erythematous scaly plaques with central scarring, saddle nose deformity, and necrotic lesions on the ear with loss of ear cartilage. B, Perforation of the hard palate. C, Infiltrate of foamy histiocytes and pigmented yeasts without multiaxial septation (Fontana-Masson). What Is Your Diagnosis?",Chromoblastomycosis,Hyalohyphomycosis,Blastomycosis,Phaeohyphomycosis,,D,Phaeohyphomycosis,JAMA Dermatology Clinicopathological Challenge,Yes,https://cdn.jamanetwork.com/ama/content_public/journal/derm/939271/m_dcg230014f1_1699989231.73842.png?Expires=1742320192&Signature=UIY3rvTp5C5RP4he-YskGS6HOGNOM3ADO492RAEo4lC4sqv536iMRTDeJvMwFlcfmjWiY~OzygcwHyBGlDoC7DFJPCryaRKEurA0FtF6jr4Nco3Hq9xco1jxNqbXbG1sQpSqaSUn7gjm7Ca~6ZUo6-mgpM-i3SRC9VFn0ClYVAjjc~uS7tdj4BX6YuCx0nK3p3indUjox2UAjyPXbgldZiE5OEhq5qRPm9Q0EWgcD7mQCd82ccCXXldZfVRAgqOTXgmnnJDiDaJKqoD6b2lRdjjBvOPr6HNdmlLg~WjvG-BhYNpYNjWz~VGs36K64PdrLWg5YdZb7eZosrYcML0ufA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,hard
