question_id,zeroshot,cot,fewshot
0,False,False,False
1,False,False,False
3,False,False,False
6,False,False,False
13,False,False,False
14,False,False,False
16,False,False,False
19,False,False,False
23,False,False,False
30,False,False,False
32,False,False,False
33,False,False,False
36,False,False,False
43,False,False,False
44,False,False,False
68,False,False,False
74,False,False,False
77,False,False,False
93,False,False,False
94,False,False,False
100,False,False,False
106,False,False,False
108,False,False,False
109,False,False,False
111,False,False,False
112,False,False,False
114,False,False,False
116,False,False,False
130,False,False,False
137,False,False,False
139,False,False,False
145,False,False,False
146,False,False,False
149,False,False,False
151,False,False,False
155,False,False,False
160,False,False,False
166,False,False,False
171,False,False,False
172,False,False,False
178,False,False,False
180,False,False,False
183,False,False,False
191,False,False,False
198,False,False,False
202,False,False,False
204,False,False,False
208,False,False,False
210,False,False,False
211,False,False,False
212,False,False,False
215,False,False,False
219,False,False,False
220,False,False,False
224,False,False,False
226,False,False,False
231,False,False,False
235,False,False,False
237,False,False,False
241,False,False,False
244,False,False,False
248,False,False,False
258,False,False,False
265,False,False,False
267,False,False,False
276,False,False,False
283,False,False,False
287,False,False,False
292,False,False,False
299,False,False,False
300,False,False,False
301,False,False,False
303,False,False,False
307,False,False,False
309,False,False,False
314,False,False,False
316,False,False,False
319,False,False,False
320,False,False,False
322,False,False,False
323,False,False,False
327,False,False,False
330,False,False,False
332,False,False,False
336,False,False,False
337,False,False,False
340,False,False,False
341,False,False,False
350,False,False,False
352,False,False,False
357,False,False,False
361,False,False,False
362,False,False,False
367,False,False,False
368,False,False,False
369,False,False,False
376,False,False,False
380,False,False,False
381,False,False,False
384,False,False,False
389,False,False,False
400,False,False,False
403,False,False,False
406,False,False,False
419,False,False,False
423,False,False,False
424,False,False,False
431,False,False,False
435,False,False,False
441,False,False,False
447,False,False,False
448,False,False,False
452,False,False,False
454,False,False,False
467,False,False,False
472,False,False,False
475,False,False,False
478,False,False,False
480,False,False,False
481,False,False,False
483,False,False,False
485,False,False,False
492,False,False,False
495,False,False,False
497,False,False,False
498,False,False,False
499,False,False,False
500,False,False,False
501,False,False,False
512,False,False,False
514,False,False,False
515,False,False,False
516,False,False,False
519,False,False,False
520,False,False,False
524,False,False,False
525,False,False,False
526,False,False,False
531,False,False,False
540,False,False,False
544,False,False,False
547,False,False,False
567,False,False,False
572,False,False,False
573,False,False,False
575,False,False,False
576,False,False,False
583,False,False,False
587,False,False,False
596,False,False,False
598,False,False,False
605,False,False,False
614,False,False,False
616,False,False,False
618,False,False,False
620,False,False,False
621,False,False,False
637,False,False,False
639,False,False,False
640,False,False,False
644,False,False,False
651,False,False,False
652,False,False,False
655,False,False,False
657,False,False,False
659,False,False,False
663,False,False,False
664,False,False,False
665,False,False,False
670,False,False,False
672,False,False,False
678,False,False,False
684,False,False,False
688,False,False,False
689,False,False,False
697,False,False,False
701,False,False,False
702,False,False,False
706,False,False,False
709,False,False,False
714,False,False,False
715,False,False,False
718,False,False,False
720,False,False,False
723,False,False,False
724,False,False,False
736,False,False,False
748,False,False,False
751,False,False,False
755,False,False,False
757,False,False,False
758,False,False,False
762,False,False,False
763,False,False,False
765,False,False,False
771,False,False,False
772,False,False,False
774,False,False,False
776,False,False,False
777,False,False,False
778,False,False,False
780,False,False,False
782,False,False,False
784,False,False,False
785,False,False,False
787,False,False,False
791,False,False,False
793,False,False,False
796,False,False,False
798,False,False,False
801,False,False,False
802,False,False,False
807,False,False,False
810,False,False,False
813,False,False,False
822,False,False,False
823,False,False,False
826,False,False,False
829,False,False,False
835,False,False,False
851,False,False,False
856,False,False,False
861,False,False,False
862,False,False,False
867,False,False,False
880,False,False,False
882,False,False,False
887,False,False,False
892,False,False,False
895,False,False,False
899,False,False,False
902,False,False,False
904,False,False,False
905,False,False,False
906,False,False,False
908,False,False,False
909,False,False,False
910,False,False,False
913,False,False,False
914,False,False,False
928,False,False,False
931,False,False,False
933,False,False,False
936,False,False,False
942,False,False,False
960,False,False,False
963,False,False,False
964,False,False,False
965,False,False,False
966,False,False,False
967,False,False,False
976,False,False,False
979,False,False,False
986,False,False,False
988,False,False,False
989,False,False,False
993,False,False,False
994,False,False,False
996,False,False,False
1003,False,False,False
1008,False,False,False
1009,False,False,False
1010,False,False,False
1020,False,False,False
1021,False,False,False
1023,False,False,False
1030,False,False,False
1034,False,False,False
1036,False,False,False
1040,False,False,False
1041,False,False,False
1046,False,False,False
1048,False,False,False
1051,False,False,False
1060,False,False,False
1071,False,False,False
1074,False,False,False
1076,False,False,False
1079,False,False,False
1080,False,False,False
1084,False,False,False
1095,False,False,False
1098,False,False,False
1100,False,False,False
1105,False,False,False
1110,False,False,False
1114,False,False,False
1117,False,False,False
1124,False,False,False
1135,False,False,False
1136,False,False,False
1138,False,False,False
1139,False,False,False
1140,False,False,False
1146,False,False,False
1153,False,False,False
1158,False,False,False
1161,False,False,False
1163,False,False,False
1176,False,False,False
1178,False,False,False
1183,False,False,False
1184,False,False,False
1194,False,False,False
1198,False,False,False
1210,False,False,False
1218,False,False,False
1221,False,False,False
1222,False,False,False
1224,False,False,False
1227,False,False,False
1233,False,False,False
1234,False,False,False
1241,False,False,False
1244,False,False,False
1250,False,False,False
1257,False,False,False
1262,False,False,False
1263,False,False,False
1264,False,False,False
1266,False,False,False
1269,False,False,False
