question_id,zeroshot,cot,fewshot
45,False,False,True
73,False,False,True
120,False,False,True
140,False,False,True
158,False,False,True
159,False,False,True
247,False,False,True
257,False,False,True
297,False,False,True
329,False,False,True
358,False,False,True
365,False,False,True
407,False,False,True
438,False,False,True
471,False,False,True
508,False,False,True
582,False,False,True
673,False,False,True
695,False,False,True
734,False,False,True
740,False,False,True
743,False,False,True
752,False,False,True
756,False,False,True
917,False,False,True
947,False,False,True
951,False,False,True
973,False,False,True
984,False,False,True
1004,False,False,True
1052,False,False,True
1073,False,False,True
1097,False,False,True
1123,False,False,True
1162,False,False,True
1175,False,False,True
1197,False,False,True
1230,False,False,True
1245,False,False,True
